1, 4833.0, 116
2, 7668.0, 235
3, 8517.0, 326
4, 9371.0, 421
1, 4833.0, 111
2, 7174.0, 229
3, 7538.0, 319
4, 9357.0, 432
1, 4833.0, 117
2, 7170.0, 236
3, 8016.0, 338
4, 8860.0, 447
5, 9216.0, 546
1, 4833.0, 120
2, 6685.0, 219
3, 8032.0, 323
4, 8898.0, 402
5, 9220.0, 535
1, 4832.0, 111
2, 7668.0, 227
3, 8546.0, 302
4, 8856.0, 448
6, 9072.0, 621
1, 4347.0, 112
2, 7180.0, 211
3, 9012.0, 343
5, 9255.0, 521
1, 4342.0, 112
2, 7178.0, 228
3, 7554.0, 296
4, 9374.0, 451
1, 4833.0, 119
2, 7667.0, 228
3, 8507.0, 345
4, 9373.0, 426
1, 4341.0, 97
2, 7178.0, 225
3, 8538.0, 325
4, 9345.0, 453
1, 4833.0, 115
2, 7177.0, 225
3, 8542.0, 309
5, 9226.0, 558
1, 4833.0, 114
2, 7665.0, 231
3, 9017.0, 320
5, 9266.0, 512
1, 4832.0, 100
2, 7676.0, 228
3, 8533.0, 322
4, 8837.0, 451
5, 9207.0, 553
1, 4342.0, 119
2, 7186.0, 225
3, 8012.0, 350
4, 8879.0, 435
5, 9251.0, 523
1, 4833.0, 108
2, 7172.0, 222
3, 8017.0, 338
4, 9384.0, 434
1, 4832.0, 101
2, 7179.0, 220
3, 8520.0, 347
4, 9373.0, 441
1, 4833.0, 96
2, 7186.0, 213
3, 8534.0, 323
5, 9230.0, 532
1, 4833.0, 119
2, 7666.0, 236
3, 8523.0, 318
4, 9358.0, 442
1, 4833.0, 114
2, 7181.0, 224
3, 8520.0, 333
5, 9248.0, 525
1, 4833.0, 85
2, 7675.0, 220
3, 8528.0, 330
5, 9224.0, 561
1, 4343.0, 120
2, 7680.0, 220
3, 8539.0, 321
4, 8875.0, 449
5, 9244.0, 534
1, 4341.0, 120
2, 7173.0, 236
3, 8517.0, 340
4, 9368.0, 440
1, 4833.0, 118
2, 7182.0, 229
3, 9014.0, 331
4, 9416.0, 398
1, 4832.0, 119
2, 7178.0, 216
3, 8027.0, 307
4, 9363.0, 433
1, 4833.0, 111
2, 7683.0, 228
3, 8518.0, 335
4, 8866.0, 439
5, 9224.0, 548
1, 4833.0, 116
2, 7183.0, 223
3, 8532.0, 317
4, 8866.0, 445
5, 9205.0, 522
1, 4833.0, 120
2, 7174.0, 229
3, 8517.0, 334
4, 9401.0, 424
1, 4343.0, 106
2, 7675.0, 224
4, 9370.0, 418
1, 4344.0, 107
2, 7670.0, 222
3, 8537.0, 296
4, 9376.0, 435
1, 4341.0, 115
2, 7171.0, 226
3, 8516.0, 332
4, 9355.0, 424
1, 4340.0, 119
2, 7666.0, 204
3, 8044.0, 321
4, 8882.0, 431
