1, 4833.0, 117
2, 6175.0, 225
4, 9373.0, 427
1, 4341.0, 109
2, 7172.0, 228
3, 8518.0, 332
4, 8860.0, 440
5, 9243.0, 507
1, 4833.0, 117
2, 6179.0, 221
3, 8547.0, 303
4, 8888.0, 412
1, 4833.0, 117
2, 6668.0, 232
3, 8003.0, 347
4, 9385.0, 415
1, 4341.0, 109
2, 6212.0, 188
3, 9007.0, 343
4, 9357.0, 443
1, 4832.0, 118
2, 7167.0, 233
3, 8035.0, 315
4, 8413.0, 387
5, 8752.0, 498
6, 9075.0, 625
1, 4833.0, 117
2, 6687.0, 213
3, 8519.0, 331
4, 8874.0, 426
5, 9253.0, 497
1, 4341.0, 109
2, 7671.0, 229
3, 8522.0, 328
4, 9364.0, 436
1, 4341.0, 109
2, 6676.0, 224
3, 8047.0, 303
4, 9345.0, 455
1, 4833.0, 117
2, 6668.0, 232
3, 8032.0, 318
5, 9244.0, 506
1, 4341.0, 109
2, 6682.0, 218
3, 7512.0, 338
4, 8866.0, 434
5, 9205.0, 545
1, 4832.0, 118
2, 7182.0, 218
3, 7531.0, 319
4, 8877.0, 423
5, 9255.0, 495
1, 4833.0, 117
2, 6683.0, 217
3, 8021.0, 329
4, 9395.0, 405
1, 4335.0, 115
2, 6673.0, 227
3, 8522.0, 328
4, 8857.0, 443
5, 9225.0, 525
1, 4345.0, 105
2, 7184.0, 216
3, 7518.0, 332
4, 8884.0, 416
5, 9229.0, 521
1, 4833.0, 117
2, 7670.0, 230
3, 8531.0, 319
4, 9399.0, 401
1, 4833.0, 117
2, 7178.0, 222
3, 8517.0, 333
4, 9367.0, 433
1, 4337.0, 113
2, 7185.0, 215
3, 8528.0, 322
4, 9366.0, 434
1, 4833.0, 117
2, 6689.0, 211
3, 8497.0, 353
4, 9361.0, 439
1, 4833.0, 117
2, 7667.0, 233
3, 8524.0, 326
4, 8859.0, 441
5, 9198.0, 552
1, 4335.0, 115
2, 7666.0, 234
3, 8049.0, 301
4, 8370.0, 430
5, 9231.0, 519
1, 4347.0, 103
2, 8165.0, 235
3, 8497.0, 353
4, 8829.0, 471
7, 8958.0, 692
1, 4833.0, 117
2, 7190.0, 210
3, 8527.0, 323
4, 8921.0, 379
5, 9248.0, 502
1, 4833.0, 117
2, 7675.0, 225
3, 8534.0, 316
4, 9383.0, 417
1, 4832.0, 118
2, 6682.0, 218
3, 8519.0, 331
5, 8731.0, 519
6, 9072.0, 628
1, 4340.0, 110
2, 7176.0, 224
3, 7518.0, 332
4, 7875.0, 425
5, 8699.0, 551
6, 9062.0, 638
1, 4832.0, 118
2, 7673.0, 227
3, 9006.0, 344
5, 9246.0, 504
1, 4832.0, 118
2, 7188.0, 212
3, 8525.0, 325
4, 9375.0, 425
1, 4833.0, 117
2, 7670.0, 230
3, 9011.0, 339
4, 9362.0, 438
1, 4341.0, 109
2, 7178.0, 222
3, 8021.0, 329
4, 8903.0, 397
6, 9080.0, 620
1, 4833.0, 117
2, 7181.0, 219
3, 8015.0, 335
4, 8888.0, 412
5, 9252.0, 498
1, 4833.0, 117
2, 6666.0, 234
3, 7511.0, 339
