1, 4838.0, 107
2, 6666.0, 233
3, 8530.0, 325
4, 9392.0, 429
1, 4840.0, 114
2, 6693.0, 216
3, 8510.0, 326
4, 9373.0, 428
1, 4840.0, 105
2, 7662.0, 239
3, 8509.0, 338
4, 9378.0, 438
1, 4840.0, 97
2, 7679.0, 216
3, 8530.0, 334
4, 9385.0, 431
1, 4838.0, 108
2, 7681.0, 219
3, 8512.0, 329
4, 8873.0, 435
5, 9263.0, 512
1, 4840.0, 112
2, 6688.0, 207
3, 9049.0, 312
4, 9410.0, 419
1, 4840.0, 114
2, 7186.0, 198
3, 8519.0, 323
4, 8886.0, 431
5, 9235.0, 525
1, 4840.0, 120
2, 8164.0, 214
3, 8537.0, 308
4, 8864.0, 434
5, 9229.0, 555
1, 4840.0, 118
2, 7675.0, 235
3, 8539.0, 321
4, 9388.0, 439
1, 4840.0, 99
2, 7681.0, 221
3, 9036.0, 326
4, 9381.0, 435
