1, 1807.898305084746, 156
2, 2616.8474576271187, 334
3, 4075.762711864407, 503
4, 4236.745762711864, 670
5, 5174.186440677966, 852
6, 5449.661016949152, 1034
7, 6450.1016949152545, 1154
9, 6701.06779661017, 1484
10, 6814.050847457627, 1679
11, 6910.033898305084, 1862
1, 1809.898305084746, 172
2, 3103.322033898305, 314
3, 3922.2711864406783, 497
4, 4533.728813559322, 676
5, 5519.169491525424, 843
7, 6304.610169491526, 1141
8, 6386.593220338984, 1343
9, 6669.06779661017, 1499
10, 7165.033898305084, 1620
1, 1821.898305084746, 178
2, 2932.830508474576, 347
3, 3897.2711864406783, 528
4, 4199.745762711864, 666
5, 5674.661016949152, 828
6, 5980.135593220339, 1014
7, 6007.627118644068, 1114
8, 6689.576271186441, 1419
11, 7063.525423728814, 1873
12, 7205.508474576272, 2026
1, 1815.898305084746, 163
2, 3124.322033898305, 337
3, 4070.762711864407, 527
4, 4423.237288135594, 639
5, 5164.186440677966, 854
6, 5977.135593220339, 1013
8, 6765.576271186441, 1313
1, 1822.898305084746, 178
2, 3147.322033898305, 327
3, 4240.254237288136, 528
6, 5806.64406779661, 992
7, 6156.118644067797, 1138
8, 6439.593220338984, 1281
9, 7162.542372881357, 1522
1, 1988.3898305084745, 170
2, 3276.813559322034, 349
3, 4104.762711864407, 486
4, 5042.203389830508, 699
5, 5195.186440677966, 828
6, 5302.169491525424, 1009
7, 5777.135593220339, 1166
9, 7203.542372881357, 1492
11, 7278.016949152543, 1841
1, 2151.8813559322034, 165
2, 3284.813559322034, 344
3, 3915.2711864406783, 524
4, 4531.728813559322, 671
5, 4821.203389830508, 862
6, 5958.135593220339, 1039
7, 6760.0847457627115, 1191
10, 7353.525423728814, 1664
1, 1813.898305084746, 169
2, 3115.322033898305, 339
3, 3932.2711864406783, 511
4, 4703.22033898305, 694
5, 5343.677966101694, 837
6, 5631.152542372882, 1012
8, 6561.0847457627115, 1328
10, 6949.542372881357, 1692
11, 7123.525423728814, 1812
1, 1809.898305084746, 177
2, 3102.322033898305, 333
3, 3920.2711864406783, 491
4, 4048.254237288136, 661
5, 5172.186440677966, 861
6, 5806.64406779661, 996
7, 6219.610169491526, 1217
8, 6433.593220338984, 1309
9, 6637.06779661017, 1506
11, 7144.525423728814, 1817
1, 1973.3898305084745, 174
2, 3282.813559322034, 352
3, 3907.2711864406783, 512
4, 4726.22033898305, 647
5, 5199.186440677966, 834
6, 6135.627118644068, 1028
7, 6431.1016949152545, 1182
11, 7127.525423728814, 1818
1, 1812.898305084746, 178
2, 3100.322033898305, 306
3, 3557.2881355932204, 534
4, 4031.254237288136, 681
5, 5362.677966101694, 831
7, 5610.64406779661, 1156
8, 7065.559322033898, 1345
9, 7205.542372881357, 1514
1, 1818.898305084746, 180
2, 3270.813559322034, 351
3, 3724.779661016949, 534
4, 4185.745762711864, 706
5, 4864.203389830508, 831
6, 5824.64406779661, 991
8, 6405.593220338984, 1356
10, 6503.06779661017, 1636
11, 6980.033898305084, 1807
12, 7304.508474576272, 1939
1, 1979.3898305084745, 175
2, 2797.338983050847, 335
3, 4083.762711864407, 504
4, 4540.728813559322, 679
5, 5178.186440677966, 863
6, 6149.627118644068, 1014
7, 6423.1016949152545, 1219
8, 6536.0847457627115, 1377
9, 6944.559322033898, 1430
14, 7052.0, 2296
1, 1983.3898305084745, 174
2, 3123.322033898305, 334
3, 3727.779661016949, 528
4, 4723.22033898305, 669
5, 5358.677966101694, 853
7, 5979.627118644068, 1127
8, 6904.06779661017, 1324
13, 7031.508474576272, 2146
1, 1810.898305084746, 170
2, 3105.322033898305, 323
3, 4422.745762711864, 506
4, 4867.71186440678, 695
5, 5523.169491525424, 832
7, 6298.610169491526, 1154
8, 6584.0847457627115, 1320
9, 6646.06779661017, 1544
11, 6765.542372881357, 1836
12, 6879.525423728814, 1989
13, 7238.0, 2119
1, 1804.898305084746, 180
2, 3105.322033898305, 350
3, 4239.254237288136, 512
4, 5059.203389830508, 669
5, 5519.169491525424, 842
6, 5654.152542372882, 999
7, 6304.610169491526, 1142
8, 6367.593220338984, 1382
9, 6480.576271186441, 1531
12, 6747.033898305084, 1974
14, 6880.508474576272, 2275
1, 1819.898305084746, 172
2, 2958.830508474576, 313
3, 3920.2711864406783, 519
4, 4382.237288135594, 667
5, 5332.677966101694, 856
7, 5764.135593220339, 1178
9, 6500.576271186441, 1537
10, 6980.542372881357, 1683
12, 7267.508474576272, 1984
1, 1973.3898305084745, 166
2, 2947.830508474576, 335
3, 4577.237288135594, 519
4, 4730.22033898305, 675
5, 5835.152542372882, 841
7, 6417.1016949152545, 1181
8, 6756.576271186441, 1348
10, 6808.050847457627, 1637
13, 7066.508474576272, 2104
1, 1807.898305084746, 174
2, 3119.322033898305, 345
3, 3911.2711864406783, 528
4, 4711.22033898305, 690
5, 5659.661016949152, 860
7, 6282.610169491526, 1156
9, 6653.06779661017, 1563
10, 6813.050847457627, 1670
12, 6921.525423728814, 1944
1, 1811.898305084746, 169
2, 2782.338983050847, 348
3, 3746.779661016949, 511
4, 5053.203389830508, 677
5, 5845.152542372882, 858
7, 6451.1016949152545, 1160
9, 7365.033898305084, 1516
1, 1814.898305084746, 173
2, 3130.322033898305, 348
3, 3415.796610169492, 493
4, 4546.728813559322, 674
5, 5552.169491525424, 836
6, 5973.135593220339, 1011
8, 6741.576271186441, 1319
10, 6980.542372881357, 1649
1, 1978.3898305084745, 171
2, 2945.830508474576, 351
3, 3732.779661016949, 516
4, 4546.728813559322, 675
5, 5343.677966101694, 838
6, 6280.118644067797, 1050
7, 6791.0847457627115, 1171
8, 6902.06779661017, 1352
11, 6927.033898305084, 1853
1, 1813.898305084746, 157
2, 3115.322033898305, 347
3, 4083.762711864407, 519
4, 4522.728813559322, 696
5, 5675.661016949152, 856
8, 6428.593220338984, 1336
9, 7166.542372881357, 1547
1, 1821.898305084746, 180
2, 3129.322033898305, 345
3, 3903.2711864406783, 506
4, 4728.22033898305, 657
5, 5353.677966101694, 857
6, 5639.152542372882, 1019
7, 6294.610169491526, 1162
9, 6333.0847457627115, 1509
11, 6604.050847457627, 1821
13, 7091.508474576272, 2097
1, 1979.3898305084745, 173
2, 3108.322033898305, 350
3, 3766.779661016949, 502
4, 4718.22033898305, 688
5, 5502.169491525424, 859
6, 6279.118644067797, 1054
7, 6560.593220338984, 1217
10, 6805.050847457627, 1645
12, 6916.525423728814, 1991
1, 1809.898305084746, 155
2, 2937.830508474576, 348
3, 3600.2881355932204, 502
4, 4397.237288135594, 657
5, 5320.677966101694, 870
6, 5647.152542372882, 1010
7, 5914.627118644068, 1204
8, 6404.593220338984, 1343
9, 6533.576271186441, 1498
10, 6671.559322033898, 1641
11, 7072.525423728814, 1873
1, 1807.898305084746, 180
2, 3284.813559322034, 335
3, 3917.2711864406783, 523
4, 4885.71186440678, 688
5, 5678.661016949152, 859
7, 5945.627118644068, 1140
8, 6583.0847457627115, 1327
11, 7100.525423728814, 1867
12, 7209.508474576272, 2030
1, 1815.898305084746, 176
2, 3118.322033898305, 343
3, 3435.796610169492, 473
4, 4549.728813559322, 651
5, 5053.6949152542375, 819
6, 6298.118644067797, 1029
8, 6894.06779661017, 1350
10, 7297.525423728814, 1696
1, 1810.898305084746, 171
2, 3126.322033898305, 340
3, 3573.2881355932204, 506
4, 3713.2711864406783, 657
5, 4992.6949152542375, 863
6, 5968.135593220339, 1031
7, 6064.118644067797, 1210
8, 6198.1016949152545, 1349
