1, 4838.0, 113
2, 8165.0, 230
3, 8535.0, 321
4, 8901.0, 403
5, 9261.0, 505
1, 4838.0, 120
2, 7174.0, 212
3, 8018.0, 338
4, 8887.0, 419
5, 9255.0, 528
1, 4833.0, 112
2, 7181.0, 208
3, 8511.0, 346
4, 8853.0, 445
5, 9223.0, 535
1, 4833.0, 118
2, 7667.0, 227
3, 8546.0, 295
4, 8859.0, 449
5, 9216.0, 540
1, 4832.0, 103
2, 7185.0, 212
3, 8526.0, 315
4, 8907.0, 415
5, 9217.0, 563
1, 4833.0, 108
2, 7184.0, 234
3, 8040.0, 314
4, 9387.0, 440
1, 4833.0, 100
2, 7680.0, 207
3, 8534.0, 306
5, 9225.0, 535
1, 4347.0, 103
2, 7183.0, 224
3, 8515.0, 332
4, 9388.0, 422
1, 4341.0, 109
2, 7176.0, 234
3, 9013.0, 330
5, 9242.0, 507
1, 4832.0, 102
2, 7180.0, 225
3, 8531.0, 326
4, 8868.0, 423
5, 9232.0, 551
1, 4341.0, 113
2, 7172.0, 222
3, 7528.0, 324
4, 8896.0, 403
5, 9251.0, 526
1, 4345.0, 86
2, 7187.0, 211
3, 8511.0, 353
4, 8895.0, 439
5, 9203.0, 538
1, 4833.0, 115
2, 7680.0, 206
3, 8524.0, 319
5, 9189.0, 561
1, 4833.0, 111
2, 7675.0, 232
3, 8008.0, 349
4, 8897.0, 419
6, 9084.0, 618
1, 4833.0, 120
2, 6682.0, 219
3, 8548.0, 309
4, 8883.0, 441
6, 9136.0, 583
1, 4833.0, 117
2, 7175.0, 232
3, 8023.0, 342
4, 9384.0, 429
1, 4341.0, 106
2, 7187.0, 222
3, 8026.0, 329
4, 9392.0, 416
1, 4341.0, 115
2, 7667.0, 233
3, 8019.0, 322
4, 9379.0, 432
1, 4343.0, 110
2, 6167.0, 224
3, 8517.0, 336
4, 9395.0, 415
1, 4840.0, 106
2, 7178.0, 219
3, 8533.0, 318
4, 9391.0, 424
1, 4833.0, 115
2, 7675.0, 225
4, 8902.0, 406
5, 9236.0, 513
1, 4832.0, 112
2, 7179.0, 221
3, 8516.0, 343
4, 8882.0, 427
5, 9240.0, 526
1, 4343.0, 120
2, 7182.0, 212
3, 8526.0, 318
4, 8851.0, 427
5, 9245.0, 507
1, 4833.0, 115
2, 7177.0, 211
3, 8536.0, 314
4, 8908.0, 376
5, 9276.0, 491
1, 4341.0, 113
2, 6677.0, 219
3, 8039.0, 321
4, 8860.0, 453
5, 9228.0, 544
1, 4833.0, 116
2, 7662.0, 238
3, 7996.0, 339
4, 8879.0, 418
5, 9241.0, 524
1, 4832.0, 120
2, 7181.0, 220
3, 8533.0, 328
4, 9344.0, 455
1, 4838.0, 115
2, 7680.0, 221
3, 8514.0, 334
5, 9198.0, 561
1, 4833.0, 107
2, 7679.0, 212
3, 8525.0, 333
4, 8878.0, 422
5, 9231.0, 530
1, 4341.0, 117
2, 7182.0, 195
3, 8529.0, 327
5, 9272.0, 502
1, 4833.0, 120
2, 7187.0, 217
3, 8516.0, 342
4, 8907.0, 397
5, 9226.0, 555
1, 4343.0, 113
2, 7177.0, 214
3, 8523.0, 308
5, 9195.0, 570
1, 4347.0, 110
2, 7667.0, 231
3, 8529.0, 326
4, 8882.0, 430
5, 9275.0, 505
1, 4833.0, 112
2, 7675.0, 225
3, 8018.0, 325
4, 9364.0, 452
1, 4832.0, 120
2, 7180.0, 231
3, 8525.0, 325
4, 8873.0, 428
5, 9230.0, 526
1, 4347.0, 98
2, 7174.0, 231
3, 8510.0, 344
4, 8854.0, 449
5, 9211.0, 547
1, 4340.0, 116
2, 7178.0, 227
3, 8029.0, 324
4, 8889.0, 443
5, 9236.0, 526
1, 4833.0, 115
2, 7174.0, 227
3, 8519.0, 342
4, 9357.0, 430
1, 4833.0, 117
2, 7167.0, 235
3, 8530.0, 314
4, 8889.0, 407
5, 9266.0, 501
1, 4833.0, 107
2, 6685.0, 224
3, 8530.0, 333
4, 8876.0, 425
5, 9208.0, 532
1, 4347.0, 118
2, 7204.0, 206
3, 8524.0, 332
4, 8890.0, 433
5, 9240.0, 531
1, 4341.0, 104
2, 7668.0, 230
3, 9015.0, 347
6, 9121.0, 600
1, 4347.0, 114
2, 6665.0, 230
3, 9011.0, 342
5, 9255.0, 498
1, 4832.0, 108
2, 7178.0, 232
3, 8557.0, 328
4, 9378.0, 442
1, 4835.0, 115
2, 7170.0, 230
3, 9008.0, 333
4, 9365.0, 425
1, 4840.0, 97
2, 7184.0, 219
3, 8524.0, 328
4, 8880.0, 434
5, 9261.0, 514
1, 4343.0, 115
2, 8165.0, 203
3, 9011.0, 339
4, 9389.0, 440
1, 4833.0, 109
2, 8165.0, 218
3, 9028.0, 325
4, 9383.0, 437
1, 4833.0, 110
2, 7681.0, 189
3, 9013.0, 346
4, 9379.0, 427
1, 4833.0, 119
2, 7670.0, 226
3, 8034.0, 320
4, 8862.0, 440
6, 9115.0, 592
1, 4833.0, 113
2, 7185.0, 223
3, 8528.0, 331
4, 9379.0, 433
1, 4343.0, 116
2, 6678.0, 210
3, 9029.0, 331
5, 9204.0, 559
1, 4343.0, 115
2, 7175.0, 235
3, 8039.0, 311
4, 8879.0, 409
5, 9222.0, 543
1, 4341.0, 116
2, 7167.0, 229
3, 9003.0, 334
6, 9096.0, 617
1, 4833.0, 120
2, 7186.0, 220
3, 9004.0, 340
5, 9241.0, 539
1, 4341.0, 114
2, 7179.0, 220
3, 8046.0, 307
4, 8395.0, 437
5, 9243.0, 506
1, 4833.0, 120
2, 7171.0, 223
3, 8549.0, 307
4, 8864.0, 440
5, 9243.0, 540
1, 4342.0, 110
2, 7169.0, 229
3, 8519.0, 330
4, 8914.0, 411
5, 9228.0, 541
1, 4335.0, 115
2, 7183.0, 219
3, 8513.0, 349
4, 8871.0, 429
5, 9254.0, 505
1, 4341.0, 113
2, 6680.0, 233
3, 8509.0, 336
4, 9363.0, 438
1, 4833.0, 114
2, 7669.0, 225
